1 1:3 2:0 3:1 4:2 5:4 6:5 7:100 8:0 9:0 10:3 11:0
1 1:2 2:0 3:1 4:0 5:2 6:8 7:34 8:0 9:0 10:1 11:1
1 1:4 2:0 3:0 4:0 5:3 6:5 7:255 8:0 9:1 10:0 11:2
1 1:6 2:0 3:0 4:1 5:3 6:5 7:43 8:0 9:0 10:3 11:0
1 1:1 2:0 3:0 4:0 5:2 6:3 7:81 8:0 9:0 10:0 11:1
2 1:1 2:2 3:1 4:0 5:4 6:1 7:188 8:1 9:0 10:1 11:1
1 1:6 2:0 3:0 4:0 5:3 6:5 7:165 8:2 9:0 10:6 11:1
1 1:1 2:0 3:0 4:0 5:4 6:3 7:113 8:0 9:0 10:0 11:0
1 1:1 2:0 3:0 4:1 5:4 6:3 7:113 8:0 9:0 10:1 11:0
2 1:4 2:1 3:0 4:0 5:4 6:3 7:88 8:1 9:0 10:1 11:0
2 1:6 2:1 3:1 4:0 5:4 6:5 7:182 8:1 9:0 10:3 11:1
1 1:3 2:0 3:2 4:1 5:4 6:10 7:215 8:0 9:0 10:0 11:0
2 1:1 2:1 3:2 4:0 5:4 6:5 7:215 8:0 9:0 10:3 11:2
2 1:5 2:2 3:0 4:0 5:4 6:6 7:146 8:2 9:1 10:2 11:1
2 1:1 2:0 3:2 4:0 5:4 6:5 7:57 8:0 9:0 10:2 11:0
2 1:2 2:1 3:0 4:0 5:4 6:6 7:489 8:4 9:0 10:5 11:0
2 1:4 2:0 3:1 4:0 5:3 6:7 7:489 8:0 9:0 10:2 11:0
1 1:1 2:0 3:1 4:0 5:3 6:5 7:196 8:1 9:0 10:1 11:0
1 1:6 2:0 3:0 4:0 5:3 6:6 7:128 8:0 9:0 10:0 11:0
2 1:2 2:1 3:2 4:1 5:3 6:8 7:175 8:0 9:0 10:3 11:1
1 1:7 2:1 3:2 4:1 5:4 6:5 7:175 8:0 9:0 10:0 11:1
1 1:2 2:1 3:2 4:0 5:4 6:7 7:236 8:0 9:0 10:0 11:0
1 1:0 2:0 3:2 4:1 5:6 6:7 7:236 8:0 9:0 10:2 11:0
1 1:1 2:0 3:2 4:0 5:4 6:5 7:94 8:0 9:0 10:1 11:0
1 1:3 2:0 3:2 4:0 5:2 6:1 7:85 8:1 9:0 10:9 11:1
1 1:9 2:0 3:0 4:0 5:4 6:5 7:85 8:0 9:0 10:4 11:0
1 1:3 2:0 3:1 4:2 5:4 6:8 7:237 8:1 9:0 10:2 11:0
1 1:4 2:1 3:1 4:0 5:4 6:5 7:186 8:1 9:0 10:4 11:1
3 1:2 2:1 3:2 4:0 5:4 6:7 7:61 8:1 9:0 10:4 11:4
1 1:2 2:1 3:0 4:0 5:4 6:3 7:100 8:0 9:0 10:2 11:0
1 1:3 2:0 3:1 4:0 5:4 6:4 7:63 8:0 9:0 10:1 11:1
1 1:1 2:0 3:0 4:0 5:4 6:3 7:82 8:0 9:0 10:2 11:0
1 1:5 2:0 3:2 4:0 5:3 6:5 7:173 8:1 9:0 10:1 11:0
3 1:4 2:1 3:2 4:0 5:4 6:5 7:89 8:0 9:0 10:2 11:1
1 1:1 2:0 3:1 4:1 5:3 6:5 7:180 8:0 9:0 10:0 11:0
3 1:3 2:1 3:2 4:0 5:4 6:5 7:28 8:0 9:3 10:2 11:5
1 1:3 2:0 3:0 4:1 5:3 6:3 7:141 8:0 9:0 10:1 11:0
1 1:2 2:1 3:2 4:0 5:3 6:3 7:13 8:1 9:0 10:5 11:0
1 1:1 2:3 3:2 4:2 5:4 6:9 7:90 8:0 9:0 10:0 11:0
1 1:6 2:0 3:0 4:1 5:3 6:3 7:146 8:0 9:0 10:4 11:0
1 1:1 2:1 3:2 4:1 5:4 6:7 7:173 8:0 9:0 10:3 11:3
1 1:2 2:1 3:2 4:2 5:4 6:9 7:108 8:2 9:1 10:3 11:4
1 1:2 2:0 3:0 4:4 5:5 6:8 7:338 8:1 9:0 10:4 11:0
1 1:10 2:1 3:1 4:0 5:4 6:8 7:242 8:1 9:1 10:4 11:2
1 1:4 2:1 3:1 4:1 5:4 6:5 7:242 8:0 9:0 10:0 11:1
1 1:5 2:0 3:2 4:0 5:3 6:3 7:62 8:0 9:0 10:0 11:0
1 1:2 2:0 3:1 4:0 5:4 6:5 7:55 8:1 9:0 10:3 11:1
2 1:9 2:2 3:0 4:1 5:5 6:7 7:421 8:0 9:0 10:2 11:0
1 1:15 2:0 3:2 4:0 5:3 6:9 7:431 8:1 9:1 10:6 11:4
